0.00.019.798 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.019.815 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.019.817 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.019.923 I srv          init: The UI is disabled
0.00.019.924 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.022.426 I srv    load_model: loading model 'models/bge-small-en-v1.5-q8.gguf'
0.00.088.449 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.107.581 W srv    load_model: speculative decoding not supported by this context
0.00.107.587 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.110.368 I srv  llama_server: model loaded
0.00.110.375 I srv  llama_server: listening on http://127.0.0.1:8090
3.23.168.649 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 203039924
3.23.168.658 I slot launch_slot_: id  0 | task 42 | processing task, is_child = 0
3.23.173.040 I slot      release: id  0 | task 42 | stop processing: n_tokens = 26, truncated = 0
3.23.174.066 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.038
3.23.174.072 I slot launch_slot_: id  0 | task 44 | processing task, is_child = 0
3.23.175.882 I slot      release: id  0 | task 44 | stop processing: n_tokens = 7, truncated = 0
3.23.176.861 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.143
3.23.176.869 I slot launch_slot_: id  0 | task 46 | processing task, is_child = 0
3.23.178.528 I slot      release: id  0 | task 46 | stop processing: n_tokens = 8, truncated = 0
3.23.179.422 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.125
3.23.179.427 I slot launch_slot_: id  0 | task 48 | processing task, is_child = 0
3.23.181.174 I slot      release: id  0 | task 48 | stop processing: n_tokens = 7, truncated = 0
3.23.182.042 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 203060665
3.23.182.049 I slot launch_slot_: id  3 | task 50 | processing task, is_child = 0
3.23.184.694 I slot      release: id  3 | task 50 | stop processing: n_tokens = 12, truncated = 0
3.23.185.649 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.167
3.23.185.656 I slot launch_slot_: id  3 | task 52 | processing task, is_child = 0
3.23.187.075 I slot      release: id  3 | task 52 | stop processing: n_tokens = 5, truncated = 0
3.23.212.334 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.200
3.23.212.343 I slot launch_slot_: id  3 | task 54 | processing task, is_child = 0
3.23.213.961 I slot      release: id  3 | task 54 | stop processing: n_tokens = 6, truncated = 0
3.23.214.953 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.167
3.23.214.962 I slot launch_slot_: id  3 | task 56 | processing task, is_child = 0
3.23.216.302 I slot      release: id  3 | task 56 | stop processing: n_tokens = 6, truncated = 0
3.23.228.314 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.167
3.23.228.322 I slot launch_slot_: id  3 | task 58 | processing task, is_child = 0
3.23.230.561 I slot      release: id  3 | task 58 | stop processing: n_tokens = 9, truncated = 0
3.23.231.640 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.500 (> 0.100 thold), f_keep = 0.222
3.23.231.648 I slot launch_slot_: id  3 | task 60 | processing task, is_child = 0
3.23.232.964 I slot      release: id  3 | task 60 | stop processing: n_tokens = 4, truncated = 0
3.23.244.297 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.250
3.23.244.307 I slot launch_slot_: id  3 | task 62 | processing task, is_child = 0
3.23.245.919 I slot      release: id  3 | task 62 | stop processing: n_tokens = 6, truncated = 0
3.23.246.967 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.167
3.23.246.976 I slot launch_slot_: id  3 | task 64 | processing task, is_child = 0
3.23.248.831 I slot      release: id  3 | task 64 | stop processing: n_tokens = 7, truncated = 0
3.23.249.958 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 203090283
3.23.249.966 I slot launch_slot_: id  2 | task 66 | processing task, is_child = 0
3.23.252.717 I slot      release: id  2 | task 66 | stop processing: n_tokens = 12, truncated = 0
3.23.275.385 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 203106821
3.23.275.391 I slot launch_slot_: id  1 | task 68 | processing task, is_child = 0
3.23.277.791 I slot      release: id  1 | task 68 | stop processing: n_tokens = 10, truncated = 0
3.23.278.920 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.100
3.23.278.928 I slot launch_slot_: id  1 | task 70 | processing task, is_child = 0
3.23.280.609 I slot      release: id  1 | task 70 | stop processing: n_tokens = 7, truncated = 0
3.23.281.856 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 203120572
3.23.281.861 I slot launch_slot_: id  0 | task 72 | processing task, is_child = 0
3.23.284.118 I slot      release: id  0 | task 72 | stop processing: n_tokens = 10, truncated = 0
3.23.285.110 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 203188229
3.23.285.116 I slot launch_slot_: id  3 | task 74 | processing task, is_child = 0
3.23.287.473 I slot      release: id  3 | task 74 | stop processing: n_tokens = 10, truncated = 0
3.23.288.424 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.200
3.23.288.431 I slot launch_slot_: id  3 | task 76 | processing task, is_child = 0
3.23.289.787 I slot      release: id  3 | task 76 | stop processing: n_tokens = 5, truncated = 0
3.23.290.650 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.200
3.23.290.656 I slot launch_slot_: id  3 | task 78 | processing task, is_child = 0
3.23.292.457 I slot      release: id  3 | task 78 | stop processing: n_tokens = 7, truncated = 0
3.23.293.520 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.143
3.23.293.528 I slot launch_slot_: id  3 | task 80 | processing task, is_child = 0
3.23.294.698 I slot      release: id  3 | task 80 | stop processing: n_tokens = 5, truncated = 0
3.23.306.298 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 203192116
3.23.306.307 I slot launch_slot_: id  2 | task 82 | processing task, is_child = 0
3.23.308.439 I slot      release: id  2 | task 82 | stop processing: n_tokens = 11, truncated = 0
3.23.321.304 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.091
3.23.321.312 I slot launch_slot_: id  2 | task 84 | processing task, is_child = 0
3.23.322.585 I slot      release: id  2 | task 84 | stop processing: n_tokens = 6, truncated = 0
3.23.323.630 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.167 (> 0.100 thold), f_keep = 0.167
3.23.323.636 I slot launch_slot_: id  2 | task 86 | processing task, is_child = 0
3.23.325.311 I slot      release: id  2 | task 86 | stop processing: n_tokens = 6, truncated = 0
3.23.326.187 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.167
3.23.326.197 I slot launch_slot_: id  2 | task 88 | processing task, is_child = 0
3.23.327.626 I slot      release: id  2 | task 88 | stop processing: n_tokens = 7, truncated = 0
3.23.328.771 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 203220006
3.23.328.777 I slot launch_slot_: id  1 | task 90 | processing task, is_child = 0
3.23.331.675 I slot      release: id  1 | task 90 | stop processing: n_tokens = 14, truncated = 0
3.23.332.634 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.071
3.23.332.640 I slot launch_slot_: id  1 | task 92 | processing task, is_child = 0
3.23.334.528 I slot      release: id  1 | task 92 | stop processing: n_tokens = 8, truncated = 0
3.23.335.400 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.125
3.23.335.405 I slot launch_slot_: id  1 | task 94 | processing task, is_child = 0
3.23.337.069 I slot      release: id  1 | task 94 | stop processing: n_tokens = 7, truncated = 0
3.23.337.934 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.111 (> 0.100 thold), f_keep = 0.143
3.23.337.940 I slot launch_slot_: id  1 | task 96 | processing task, is_child = 0
