0.00.019.696 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.019.710 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.019.714 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.019.817 I srv          init: The UI is disabled
0.00.019.820 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.026.316 I srv    load_model: loading model './models/bge-small-en-v1.5-q8.gguf'
0.00.093.894 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.115.649 W srv    load_model: speculative decoding not supported by this context
0.00.115.655 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.119.153 I srv  llama_server: model loaded
0.00.119.159 I srv  llama_server: listening on http://127.0.0.1:8091
0.07.760.615 I slot      release: id  2 | task 40 | stop processing: n_tokens = 7, truncated = 0
0.07.761.907 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 7603046
0.07.761.912 I slot launch_slot_: id  1 | task 42 | processing task, is_child = 0
0.07.763.973 I slot      release: id  1 | task 42 | stop processing: n_tokens = 11, truncated = 0
0.07.765.122 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.400 (> 0.100 thold), f_keep = 0.182
0.07.765.129 I slot launch_slot_: id  1 | task 44 | processing task, is_child = 0
0.07.766.531 I slot      release: id  1 | task 44 | stop processing: n_tokens = 5, truncated = 0
0.07.786.188 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.143 (> 0.100 thold), f_keep = 0.200
0.07.786.197 I slot launch_slot_: id  1 | task 46 | processing task, is_child = 0
0.07.788.145 I slot      release: id  1 | task 46 | stop processing: n_tokens = 7, truncated = 0
0.07.802.211 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.200 (> 0.100 thold), f_keep = 0.143
0.07.802.221 I slot launch_slot_: id  1 | task 48 | processing task, is_child = 0
0.07.804.200 I slot      release: id  1 | task 48 | stop processing: n_tokens = 5, truncated = 0
0.07.818.238 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7609331
0.07.818.247 I slot launch_slot_: id  0 | task 50 | processing task, is_child = 0
0.07.820.756 I slot      release: id  0 | task 50 | stop processing: n_tokens = 14, truncated = 0
0.07.834.251 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.125 (> 0.100 thold), f_keep = 0.071
